Date,Open,High,Low,Close,Volume
2024-10-02,8.5,8.95,8.46,8.79,15080558
2024-10-03,8.62,8.825,8.43,8.66,15043824
2024-10-04,8.98,9.64,8.85,9.58,22479433
2024-10-07,9.6,9.72,8.82,9.1,23593262
2024-10-08,9.0,9.1928,8.78,9.0,15389311
2024-10-09,8.96,9.365,8.8,8.86,17111813
2024-10-10,8.81,8.88,8.56,8.66,12638287
2024-10-11,8.782,9.66,8.75,9.59,24209397
2024-10-14,10.03,10.955,9.8,10.81,34798116
2024-10-15,10.85,11.745,10.72,11.23,42073206
2024-10-16,11.75,12.19,11.25,11.84,35139386
2024-10-17,11.71,12.135,11.235,11.72,28089515
2024-10-18,12.09,12.99,11.94,12.86,41945604
2024-10-21,12.59,12.76,11.955,12.69,33707708
2024-10-22,12.44,12.62,11.96,12.23,30127892
2024-10-23,11.87,12.067,11.06,11.63,35137670
2024-10-24,11.99,12.4795,11.5647,11.96,33949759
2024-10-25,12.0098,12.276,11.31,11.39,32996601
2024-10-28,11.96,12.77,11.82,12.55,43268188
2024-10-29,13.2,13.27,12.2,12.37,48393578
2024-10-30,11.865,12.5408,11.73,12.06,27313011
2024-10-31,11.8301,11.89,10.6,10.61,33571629
2024-11-01,10.74,11.235,10.2701,10.325,24129775
2024-11-04,10.09,10.17,9.7001,9.8,22272172
2024-11-05,10.2,10.76,9.98,10.56,26105842
2024-11-06,11.948,13.045,11.4,12.99,49290083
2024-11-07,12.7,13.798,12.65,13.57,37698309
2024-11-11,15.0,17.87,14.83,17.61,68159990
2024-11-12,16.62,17.69,15.86,17.63,48154450
2024-11-13,17.3,17.9699,14.81,14.98,57517782
2024-11-14,15.39,15.58,13.7,13.98,34207485
2024-11-15,14.43,14.43,13.1,14.03,31081273
2024-11-18,13.69,14.57,13.3,13.38,30683287
2024-11-19,13.26,14.4,12.835,14.12,35421364
2024-11-20,14.56,14.98,13.32,14.0,49099911
2024-11-21,14.6,15.28,12.6,12.965,62190618
2024-11-22,13.1,15.48,12.86,15.1,49084887
2024-11-25,15.4,15.87,14.51,14.95,42148364
2024-11-26,14.0,14.45,13.01,13.03,37181119
2024-11-27,13.64,14.125,13.25,13.86,33683808
2024-11-29,14.359,15.15,14.22,14.35,28952510
2024-12-02,14.96,15.4,14.11,14.52,48225006
2024-12-03,13.33,14.37,12.7,13.95,45886095
2024-12-04,13.97,14.855,13.54,14.68,44538719
2024-12-05,15.44,16.25,13.87,13.93,49980286
2024-12-06,14.19,15.55,14.07,14.97,43080367
2024-12-09,14.77,15.045,13.42,13.56,33694880
2024-12-10,13.96,13.975,12.86,12.94,27927326
2024-12-11,13.15,13.47,12.47,12.83,37701613
2024-12-12,13.25,13.645,12.27,12.33,41802803
2024-12-13,11.68,12.44,11.58,12.02,69680333
2024-12-16,12.34,13.25,11.8,12.48,48538775
2024-12-17,12.49,12.88,12.135,12.36,31721933
2024-12-18,12.31,13.32,11.05,11.32,61231040
2024-12-19,11.94,12.15,10.62,10.91,35966497
2024-12-20,10.765,11.31,10.64,11.14,30052915
2024-12-23,11.11,11.215,10.11,10.26,27635256
2024-12-24,10.62,10.8276,10.32,10.66,14608246
2024-12-26,10.46,10.66,10.32,10.36,15857493
2024-12-27,10.375,10.46,9.71,9.78,24104077
2024-12-30,9.465,9.75,9.0239,9.51,27334628
2024-12-31,9.74,9.84,9.13,9.21,20141551
2025-01-02,9.45,9.79,9.1731,9.45,26589014
2025-01-03,9.5,10.83,9.43,10.8,26512716
2025-01-06,11.06,11.5,10.74,11.43,33200377
2025-01-07,11.22,11.5,10.59,10.71,20527329
2025-01-08,10.325,10.5,9.8,10.09,18869644
2025-01-10,9.92,10.19,9.63,10.09,17743314
